hashed_uid,date,pam_score_mean,pam_n_responses,frac_stationary,n_activity_readings,dark_hours,conversation_hours,n_gps_readings,mean_accuracy,km_from_campus,n_deadlines,has_deadline,is_weekend,day_of_week
02b34100f41b4332,2013-05-19,14.0,1.0,1.0,8339.0,,0.1625,144.0,38.50500694444444,0.1828745050937338,0.0,0.0,1,Sunday
02b34100f41b4332,2013-05-20,14.6,5.0,0.9415907710989678,8235.0,18.77916666666667,5.060277777777777,141.0,46.78750354609929,0.1824826279631113,0.0,0.0,0,Monday
02b34100f41b4332,2013-05-21,14.0,1.0,0.9740560292326432,8210.0,,2.2416666666666667,142.0,39.52767605633803,0.1820736042897859,0.0,0.0,0,Tuesday
02b34100f41b4332,2013-05-22,14.5,2.0,0.9177915602578136,8223.0,8.085,5.085833333333333,144.0,36.92256944444445,0.1813753188312384,1.0,1.0,0,Wednesday
02b34100f41b4332,2013-05-23,14.0,1.0,0.9107679107679107,6993.0,5.940833333333334,5.958888888888889,123.0,39.51311382113821,0.1794161874836682,0.0,0.0,0,Thursday
02b34100f41b4332,2013-05-24,7.25,4.0,0.8958545454545455,6875.0,26.27,4.496111111111111,120.0,42.59336666666666,0.1821901597112928,0.0,0.0,0,Friday
02b34100f41b4332,2013-05-25,15.0,1.0,0.9715064420218038,8072.0,9.15638888888889,2.445,140.0,45.782471428571434,0.1829416165801806,0.0,0.0,1,Saturday
02b34100f41b4332,2013-05-26,14.0,2.0,1.0,8348.0,7.650277777777777,1.9527777777777775,144.0,49.65049305555556,0.1836823491831367,0.0,0.0,1,Sunday
02b34100f41b4332,2013-05-27,15.0,1.0,1.0,8369.0,,3.2275,144.0,46.727270833333336,0.183100551356404,0.0,0.0,0,Monday
02b34100f41b4332,2013-05-28,14.0,1.0,0.960193003618818,8290.0,16.183888888888887,6.075,141.0,44.97904255319149,0.1828178611060819,0.0,0.0,0,Tuesday
02b34100f41b4332,2013-05-29,14.0,1.0,0.9139225181598064,8260.0,10.806944444444444,5.559722222222223,142.0,50.18099295774648,0.1827681130994052,2.0,1.0,0,Wednesday
02b34100f41b4332,2013-05-31,10.0,2.0,0.6969298769561582,8371.0,,1.1508333333333334,144.0,48.25160416666667,0.180776658588988,0.0,0.0,0,Friday
02b34100f41b4332,2013-06-01,14.0,1.0,,,,,,,,0.0,0.0,1,Saturday
047dd3752ee95148,2013-03-27,8.0,5.0,0.9651207359141434,2609.0,6.814166666666667,1.8744444444444444,14.0,26.34714285714286,2.6673524489138885,0.0,0.0,0,Wednesday
047dd3752ee95148,2013-03-28,10.142857142857142,7.0,0.9149526813880128,7925.0,3.575277777777778,8.065555555555555,48.0,43.16395833333333,2.6692596920111917,0.0,0.0,0,Thursday
047dd3752ee95148,2013-03-29,10.0,5.0,0.9444513023083568,8101.0,2.3408333333333333,10.055555555555555,41.0,38.17873170731707,2.675805006170861,0.0,0.0,0,Friday
047dd3752ee95148,2013-03-30,4.5,2.0,0.9711903886232685,8157.0,4.335833333333333,4.261388888888889,31.0,41.38141935483871,2.6800787341636543,0.0,0.0,1,Saturday
