date,gdelt_mood,gdelt_avg_tone,gdelt_avg_goldstein,gdelt_total_mentions,gdelt_total_sources,gdelt_salient_events,gdelt_dominant_event,trends_avg,trends_zscore,trends_mood,compound_mood,mood_label
2013-05-25,4.9,2.1776206627086285,0.3015267175572519,6101.0,821.0,131.0,Senate -> Unknown (Make statement),23.8,-1.3760192876462087,45.9,29.5,Mildly positive
2013-05-26,50.7,2.1648260920331643,1.2074626865671643,4451.0,498.0,67.0,United States -> Unknown (Appeal),26.0,-2.20535222598288,73.5,64.4,Positive
2013-05-27,-20.3,2.312721354904459,-0.45357142857142857,9478.0,1229.0,168.0,Environmentalist -> Unknown (Engage diplomatically),28.2,-1.5036089704672349,50.1,21.9,Mildly positive
2013-05-28,-30.3,2.23029965690094,-0.8013422818791947,7482.0,1102.0,149.0,Environmentalist -> Unknown (Engage diplomatically),31.0,-0.8018657149515898,26.7,3.9,Neutral
2013-05-29,-19.6,2.1506261840462315,-0.3461254612546125,13831.0,1944.0,271.0,Washington -> Unknown (Make statement),29.8,0.09126206479559539,-3.0,-9.6,Neutral
2013-05-30,10.0,1.84916431748404,0.31286764705882353,16583.0,2082.0,272.0,Washington -> New York (Consult),30.4,-0.2915069836674836,9.7,9.8,Neutral
2013-05-31,-34.6,1.9829711952016136,-0.23119658119658124,12990.0,1902.0,234.0,Washington -> Firefighter (Fight),27.4,-0.1001224594359447,3.3,-11.9,Mildly negative
2013-06-01,-75.2,2.0470562738234985,-0.6570422535211268,8049.0,1134.0,142.0,Los Angeles -> Firefighter (Fight),25.0,-1.0570450805936427,35.2,-9.0,Neutral
2013-06-02,5.0,2.34968129419784,0.39527559055118106,6334.0,965.0,127.0,Chicago -> Unknown (Consult),28.4,-1.8225831775198007,60.8,38.5,Mildly positive
2013-06-03,-41.2,2.2422178009248985,-0.830945558739255,23522.0,4217.0,349.0,Administration -> Unknown (Disapprove),31.0,-0.7380708735410767,24.6,-1.7,Neutral
2013-06-04,-10.0,2.097925452377702,0.21849865951742628,23544.0,3791.0,373.0,Washington -> Unknown (Make statement),29.6,0.09126206479559539,-3.0,-5.8,Neutral
